sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
2794_04_16S	2615	1502	57.44	837	837	32.01
2794_04_GyrB	4183	3320	79.37	3290	2954	70.62
2847_07_16S	2543	1795	70.59	1465	1434	56.39
2847_07_GyrB	1643	1330	80.95	1311	917	55.81
2876_14_16S	4471	3707	82.91	3303	2850	63.74
2876_14_GyrB	24	16	66.67	3	3	12.5
2903_13_16S	8461	5672	67.04	4822	3594	42.48
2903_13_GyrB	4595	3684	80.17	3646	3183	69.27
2907_16_16S	4755	3767	79.22	3238	3093	65.05
2907_16_GyrB	2210	1685	76.24	1661	1344	60.81
3310_05_16S	2763	1610	58.27	1189	1189	43.03
3310_05_GyrB	1970	669	33.96	571	514	26.09
3350_10_16S	3792	2998	79.06	2799	2323	61.26
3350_10_GyrB	2239	1776	79.32	1757	1654	73.87
3413_10_16S	3139	2321	73.94	1888	1604	51.1
3413_10_GyrB	923	740	80.17	726	559	60.56
3415_08_16S	3872	2724	70.35	2009	1999	51.63
3415_08_GyrB	3575	1885	52.73	1865	1840	51.47
3416_01_16S	3234	2772	85.71	2477	2320	71.74
3416_01_GyrB	1055	727	68.91	681	592	56.11
3418_05_16S	35	20	57.14	2	2	5.71
3418_05_GyrB	3218	2554	79.37	2507	1989	61.81
3422_09_16S	5819	3823	65.7	3284	3020	51.9
3422_09_GyrB	3162	2667	84.35	2600	2600	82.23
3424_15_16S	7985	5386	67.45	4566	4273	53.51
3424_15_GyrB	3312	2475	74.73	2421	2228	67.27
3437_12_16S	5959	4364	73.23	3277	3117	52.31
3437_12_GyrB	3604	3058	84.85	3006	3006	83.41
3441_02_16S	2043	1476	72.25	1181	1181	57.81
3441_02_GyrB	1525	1221	80.07	1188	891	58.43
3444_11_16S	3763	2610	69.36	1983	1983	52.7
3444_11_GyrB	3337	2669	79.98	2655	1944	58.26
3469_15_16S	2408	1786	74.17	1385	1326	55.07
3469_15_GyrB	3059	2096	68.52	2044	1984	64.86
3470_11_16S	2057	1281	62.28	810	744	36.17
3470_11_GyrB	1817	1509	83.05	1496	1496	82.33
3486_13_16S	13	7	53.85	1	0	0
3486_13_GyrB	3211	2548	79.35	2495	2051	63.87
