OTUID	B10DF-x10PCR1_S1_L001	B10DF-x30PCR1_S2_L001	B10H-x10PCR1_S3_L001	B10H-x30PCR1_S4_L001	B12-x10PCR1_S5_L001	B12-x30PCR1_S6_L001	B14-x10PCR1_S7_L001	B14-x30PCR1_S8_L001	B15FDF-x10PCR1_S9_L001	B15FDF-x30PCR1_S10_L001	B15MH-x10PCR1_S11_L001	B15MH-x30PCR1_S12_L001	B16-x10PCR1_S13_L001	B16-x30PCR1_S14_L001	B18-x10PCR1_S15_L001	B18-x30PCR1_S16_L001	B19DF-x10PCR1_S17_L001	B19DF-x30PCR1_S18_L001	B19H-x10PCR1_S19_L001	B19H-x30PCR1_S20_L001	B1DF-x10PCR1_S21_L001	B1DF-x30PCR1_S22_L001	B1H-x10PCR1_S23_L001	B1H-x30PCR1_S24_L001	B20DF-x10PCR1_S25_L001	B20DF-x30PCR1_S26_L001	B20H-x10PCR1_S27_L001	B20H-x30PCR1_S28_L001	B21-x10PCR1_S29_L001	B21-x30PCR1_S30_L001	B22-x10PCR1_S31_L001	B22-x30PCR1_S32_L001	B24-x10PCR1_S33_L001	B24-x30PCR1_S34_L001	B25-x10PCR1_S35_L001	B25-x30PCR1_S36_L001	B26-x10PCR1_S37_L001	B26-x30PCR1_S38_L001	B27-x10PCR1_S39_L001	B27-x30PCR1_S40_L001	B28-x10PCR1_S41_L001	B28-x30PCR1_S42_L001	B29-x10PCR1_S43_L001	B29-x30PCR1_S44_L001	B3-x10PCR1_S45_L001	B3-x30PCR1_S46_L001	B30DF-x10PCR1_S47_L001	B30DF-x30PCR1_S48_L001	B30H-x10PCR1_S49_L001	B30H-x30PCR1_S50_L001	B31ND1-x30PCR1_S52_L001	B31ND2-x10PCR1_S53_L001	B32DF-x10PCR1_S55_L001	B32DF-x30PCR1_S56_L001	B32H-x10PCR1_S57_L001	B32H-x30PCR1_S58_L001	B34DF-x10PCR1_S59_L001	B34DF-x30PCR1_S60_L001	B34H-x10PCR1_S61_L001	B34H-x30PCR1_S62_L001	B35-x10PCR1_S63_L001	B35-x30PCR1_S64_L001	B36-x10PCR1_S65_L001	B36-x30PCR1_S66_L001	B37-x10PCR1_S67_L001	B37-x30PCR1_S68_L001	B38-x10PCR1_S69_L001	B38-x30PCR1_S70_L001	B4DF-x10PCR1_S71_L001	B4DF-x30PCR1_S72_L001	B4H-x10PCR1_S73_L001	B4H-x30PCR1_S74_L001	B6-x10PCR1_S75_L001	B6-x30PCR1_S76_L001	B7DF-x10PCR1_S77_L001	B7DF-x30PCR1_S78_L001	B7H-x10PCR1_S79_L001	B7H-x30PCR1_S80_L001	B8H-Rpt-x10PCR1_S81_L001	B8H-x10PCR1_S82_L001	B8H-x30PCR1_S83_L001	B9DF-x10PCR1_S84_L001	B9DF-x30PCR1_S85_L001	B9H-x10PCR1_S86_L001	B9H-x30PCR1_S87_L001	BExNC1-x10PCR1_S88_L001	BExNC1-x30PCR1_S89_L001	BExNC2-x10PCR1_S90_L001	BExNC2-x30PCR1_S91_L001	BPCR2NC1_S92_L001	BPCRNC1-x10PCR1_S94_L001	BPCRNC2-x10PCR1_S95_L001	BPCRNC2-x30PCR1_S96_L001	B31ND1-x10PCR1_S51_L001	B31ND2-x30PCR1_S54_L001	BPCR2NC2_S93_L001
1d01320845c5359057c8f173cc63c8ae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
82a49e5c82bcb68202a83ddf57dbb430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d083384b34801b703eaecbdf3172bb44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83db129cdfe90a9f90e8ae0274b306d5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c9f5d21c0196268174ad0a1c94c2a06f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4a3ad04dfa68d37e688a2efc139f80ec	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110d72334b5f8b5f10226f5a093bacc2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ea8c8d439a00fe773568a114cd025abf	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cd3a3f8419932431fbff6a76e6c48ebc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ba743f319a6dd7b8eba45ded654982be	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
