OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Genus_2	Species
1d01320845c5359057c8f173cc63c8ae	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Bacillales_D_310495	f__Amphibacillaceae	g__Ornithinibacillus_287146		
82a49e5c82bcb68202a83ddf57dbb430	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rickettsiales	f__Anaplasmataceae	g__Wolbachia	s__Wolbachia	sp012277295
d083384b34801b703eaecbdf3172bb44	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales_877923	f__Flavobacteriaceae			
83db129cdfe90a9f90e8ae0274b306d5	Unassigned							
c9f5d21c0196268174ad0a1c94c2a06f	Unassigned							
4a3ad04dfa68d37e688a2efc139f80ec	d__Bacteria							
110d72334b5f8b5f10226f5a093bacc2	d__Bacteria							
ea8c8d439a00fe773568a114cd025abf	d__Bacteria							
cd3a3f8419932431fbff6a76e6c48ebc	d__Bacteria							
ba743f319a6dd7b8eba45ded654982be	d__Bacteria							
ac44124efd440e4bb3bab28c449f7f2c	Unassigned							
52ce6b68a5dbed34f231c39d298525bb	Unassigned							
26baf67473a01ed6610fe19debce9f4b	Unassigned							
e39eb77f70f075745f742ad9299026ff	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia_401430	o__Acidimicrobiales	f__JAAYBP01	g__Aquihabitans	s__Aquihabitans	daechungensis
302f3ca0cd68851434980b76803ebc13	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia_401430	o__Acidimicrobiales	f__JAAYBP01	g__Aquihabitans	s__Aquihabitans	daechungensis
563b6c58ec73ee2f7edc32e7c887af15	d__Bacteria							
01cb0d96e733edd69a8bec070ff09ad9	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Apilactobacillus	s__Apilactobacillus	timberlakei
f4a71112441afbfe3e59e754aa48dbfd	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Bacteroidales	f__Marinilabiliaceae	g__JC017	s__JC017	sp004296775
0b6fddee1d71c1ef50aec78216c6b49b	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales_660879	f__Moraxellaceae	g__Acinetobacter		
5e8207f106dd5a2966aa97e453b9bd81	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales_660879	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter	guerrae
734e8038681e197faf32e6ac7eabcd15	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales_650611	f__Pseudomonadaceae	g__Pseudomonas_B_650363	s__Pseudomonas_B	luteola
68c3b2acb403d48154cd6f72a3e90e34	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales_650611	f__Pseudomonadaceae	g__Pseudomonas_E_647464		
c71ccd267b20f1439edba15e3aa81767	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales_660879	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter	sp001647675
049b05e1a553e7a620d387f8a45fd0ff	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales_660879	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter	radioresistens
57b842406ffeaf5d393b9bc632fbaffb	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales_660879	f__Moraxellaceae	g__Acinetobacter		
671ec3d5b1336ee1a856c83b767b4fce	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales_660879	f__Moraxellaceae	g__Acinetobacter		
434b3a52eb4cd0e0d5bbe4b1049259b1	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales_660879	f__Moraxellaceae	g__Acinetobacter		
7dfc6f6cb49dc27598f2e0784142c8ea	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales_660879	f__Moraxellaceae	g__Acinetobacter		
587ef92dc3ab01f3c75234e8367f0421	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales_660879	f__Moraxellaceae	g__Acinetobacter		
7a037e494f053983956670c8959e3dbb	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales_660879	f__Moraxellaceae	g__Acinetobacter		
768c1bdbc72ec5c81e481b14f920ecaa	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales_660879	f__Moraxellaceae	g__Acinetobacter		
14b2b478901b552fa4c687a272d47a87	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales_660879	f__Moraxellaceae	g__Acinetobacter	s__Acinetobacter	sp000632455
2453fcd00722d8201e6b713c617646a3	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales_592522	f__Burkholderiaceae_A_592522			
aca38bafaff9cc0e7fc66c8f679fa350	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales_595422	f__Burkholderiaceae_A_595422	g__Oligella		
6cf3b59d262bae3745aaedea33e65b9a	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales_A_737866	f__Enterobacteriaceae_A			
1d2877ce14a764d3e225b33d4113c955	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Bombella		
76c7b512a75e3957fac770078622c628	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylomonadaceae	g__Methylomonas		
7aa4bf230109afaa3a4d35b35db8d613	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Bombella		
3f3089e91d794c531f2f1e662bea8682	d__Bacteria							
d529c0894f3c999f26b586689e0866f8	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Acetobacter		
db8730371d89444afd0f9ea888633de9	d__Bacteria	p__Firmicutes_D	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae			
7e4e14b5e4dd67f6e76e41a275109c9d	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__Brevundimonas	nasdae_A_487984
d681e93ebde9bb22670c5d208605a64f	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Kocuria		
24af8fa1331b5467e3355200434e2c85	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales_A_501396	f__Rhizobiaceae_A_499470			
222c36cab533e96ff6b8d3d6053c4ac9	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria					
e0a4a4fc7ff4fb836390c6538e53829e	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria					
b2dd39ec4e6cf3a86f7489837f7eff0d	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales_641030	f__Halomonadaceae_641030	g__Halomonas_C_640989		
3aec556d0109b20dae44539f4f1defcd	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales_613062	f__Rhodanobacteraceae_613062			
ddc733eb3543a0f6be8aec71515437e0	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales_613062	f__Rhodanobacteraceae_613062			
0acf495f6dc31298541f5a9cad4a13d2	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales_616009	f__Xanthomonadaceae_616009	g__Stenotrophomonas_A_615274	s__Stenotrophomonas_A_615274	maltophilia_615049
707a21f5b2f7953d1e0226c2d54b2ebe	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales_616009	f__Xanthomonadaceae_616009	g__Stenotrophomonas_A_615274	s__Stenotrophomonas_A_615274	maltophilia_615059
6287354536dbd685592daed1b0332a52	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Xanthomonadales_616009	f__Xanthomonadaceae_616009			
cc255fd1752f3687f07357a85bafda8c	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales_650611	f__Pseudomonadaceae			
576ce0142600bc728234fa64346d85d9	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__Trueperaceae	g__UBA6957	s__UBA6957	sp002707365
06e0aed554c5018433b34af5f7031334	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Leucobacter		
